,cons_12m,cons_gas_12m,cons_last_month,date_activ,date_end,date_modif_prod,date_renewal,contract_months_left,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,churn
10,26064,0,2188,2010-05-04,2016-05-04,2015-04-29,2015-05-05,72,2738.1,2188,0.0,130.43,0.11576099999999999,0.09941900000000001,40.606701,No,219.59,33.42,33.42,1,329.6,6,lxidpiddsbxsbosboudacockeimpuepw,31.5,Stayed
11,10831,0,3112,2011-07-11,2016-07-11,2011-07-11,2015-07-12,60,1204.58,3112,0.0,20.94,0.16463699999999998,0.087381,44.31137796,No,349.48,14.52,14.52,1,108.5,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,11.5,Stayed
12,4442,0,2489,2009-11-26,2016-11-26,2009-11-26,2015-11-27,84,561.96,2489,0.0,20.5,0.16708599999999998,0.08844400000000001,46.30537836,No,308.41,21.09,21.09,1,18.41,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392000000000001,Stayed
13,46121,1542867,5280,2011-09-01,2016-10-30,2013-10-30,2015-11-01,61,4502.43,5280,0.0,145.81,0.11523699999999999,0.100123,40.606701,Yes,523.68,5.52,5.52,2,533.46,4,lxidpiddsbxsbosboudacockeimpuepw,16.5,Stayed
14,7726,0,0,2013-01-22,2017-01-22,2015-11-18,2016-01-24,48,914.1,0,0.0,74.66,0.162327,0.084428,44.31137796,No,0.0,33.12,33.12,1,89.02,3,ldkssxwpmemidmecebumciepifcamkci,13.2,Stayed
15,55084,0,8709,2012-11-01,2016-10-31,2015-09-18,2015-11-01,47,1765.35,3513,0.0,0.0,0.098925,0.09135,58.99595196,No,290.91,2.08,2.08,1,140.26,3,ldkssxwpmemidmecebumciepifcamkci,10.0,Stayed
16,9707,0,0,2010-12-01,2016-12-01,2010-12-01,2015-12-02,72,1028.52,0,0.0,15.37,0.168242,0.089602,45.30837756,No,0.0,15.78,15.78,1,111.59,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856,Stayed
17,47019,0,3161,2012-04-20,2016-04-20,2012-04-20,2015-04-21,48,1687.29,1080,0.0,16.08,0.144902,0.0,44.31137796,No,158.53,19.28,19.28,1,130.14,4,ldkssxwpmemidmecebumciepifcamkci,10.392000000000001,Stayed
18,786536,80583,85883,2010-02-15,2016-02-15,2010-02-15,2015-02-16,72,13517.5,23298,0.0,16.6,0.16405799999999998,0.086163,44.31137796,Yes,2585.38,25.68,25.68,2,1087.76,6,lxidpiddsbxsbosboudacockeimpuepw,11.4,Stayed
19,24838,0,2877,2011-05-27,2016-05-27,2011-05-27,2015-05-31,60,1088.35,798,0.0,141.79,0.115174,0.098837,40.606701,No,79.36,21.57,21.57,1,117.44,5,ldkssxwpmemidmecebumciepifcamkci,15.001,Stayed
20,15411,0,0,2012-05-28,2016-05-28,2012-05-28,2015-05-31,48,194.42,0,0.0,18.31,0.14571099999999998,0.0,44.31137796,No,0.0,23.97,23.97,1,19.07,4,lxidpiddsbxsbosboudacockeimpuepw,13.0,Stayed
21,16782,0,1908,2009-10-01,2016-10-01,2009-10-01,2015-10-03,84,1686.67,1908,0.0,131.77,0.11523699999999999,0.100123,40.606701,Yes,189.79,6.6,6.6,2,203.35,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,19.8,Stayed
22,26987,0,4099,2011-03-04,2016-03-04,2011-03-04,2015-03-09,60,2761.95,4099,0.0,129.95,0.11863599999999999,0.10175,40.606701,No,413.68,47.35,47.35,1,316.53,5,lxidpiddsbxsbosboudacockeimpuepw,35.0,Stayed
23,20560,0,3804,2012-12-31,2016-12-31,2015-11-01,2016-01-01,48,3037.82,3804,0.0,0.0,0.14241700000000002,0.0,44.31137796,No,548.89,4.14,4.14,1,255.96,3,lxidpiddsbxsbosboudacockeimpuepw,11.0,Stayed
24,12157,0,0,2013-02-27,2016-02-27,2015-12-16,2015-03-09,36,1418.81,0,0.0,16.42,0.160302,0.082403,44.31137796,No,0.0,23.4,23.4,2,123.87,3,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392000000000001,Stayed
25,13122,0,0,2009-12-07,2016-12-07,2015-11-01,2015-12-08,84,1932.42,0,0.0,19.51,0.143478,0.0,44.31137796,No,0.0,3.56,3.56,1,150.7,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,Stayed
26,3584,0,322,2010-11-17,2016-11-17,2010-11-17,2015-11-18,72,379.83,322,0.0,145.98,0.11523699999999999,0.100123,41.1052014,No,32.61,57.72,57.72,1,38.76,5,lxidpiddsbxsbosboudacockeimpuepw,23.1,Churned
27,2632,0,0,2010-07-12,2016-07-12,2010-07-12,2015-07-14,72,394.83,0,0.0,15.98,0.14571099999999998,0.0,44.31137796,No,0.0,14.64,14.64,1,38.62,6,ldkssxwpmemidmecebumciepifcamkci,10.392000000000001,Stayed
28,4792,0,0,2011-12-12,2016-12-12,2015-11-01,2015-12-14,60,719.4,0,0.0,0.0,0.144039,0.0,45.80687796,No,0.0,19.42,19.42,1,60.0,4,lxidpiddsbxsbosboudacockeimpuepw,12.5,Stayed
29,7950,0,1100,2009-10-01,2016-10-01,2009-10-01,2015-10-02,84,856.81,1100,0.0,132.16,0.11523699999999999,0.100123,40.9390266,No,113.82,20.0,20.0,1,94.01,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,15.01,Stayed
30,1856956,41883,164355,2010-09-20,2016-09-20,2010-09-20,2015-09-23,72,3074.16,0,0.0,99.05,0.11523699999999999,0.100123,40.606701,Yes,0.0,43.44,43.44,2,487.42,5,ldkssxwpmemidmecebumciepifcamkci,29.0,Stayed
31,324,0,0,2009-07-07,2016-07-07,2015-05-23,2015-07-09,84,8.32,0,0.0,1.08,0.14317,0.0,44.31137796,No,0.0,18.62,18.62,2,1.27,7,ldkssxwpmemidmecebumciepifcamkci,13.2,Churned
32,2103,0,0,2011-12-14,2016-08-06,2015-08-06,2015-01-05,56,355.17,0,30.0,19.6,0.198096,0.0,46.30537836,No,0.0,27.96,27.96,2,19.0,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392000000000001,Stayed
33,19593,0,0,2012-07-03,2016-07-03,2013-10-31,2015-07-04,48,2886.5,0,0.0,17.55,0.14316600000000002,0.0,44.31137796,No,0.0,17.45,17.45,1,243.99,4,lxidpiddsbxsbosboudacockeimpuepw,13.856,Stayed
34,41814,0,4159,2012-10-10,2016-10-10,2014-06-26,2015-10-11,48,4107.43,4159,0.0,129.97,0.11650899999999999,0.101397,40.606701,No,412.54,10.16,10.16,1,477.42,3,lxidpiddsbxsbosboudacockeimpuepw,30.45,Stayed
35,37969,0,3407,2005-03-28,2016-03-28,2015-03-09,2015-03-29,132,3879.98,3407,0.0,130.68,0.114604,0.098262,40.606701,No,330.3,44.64,44.64,1,407.98,11,ldkssxwpmemidmecebumciepifcamkci,33.0,Stayed
36,41214,0,3538,2011-11-04,2016-11-04,2015-11-01,2015-11-05,60,4294.49,3538,0.0,146.56,0.11535999999999999,0.100243,40.606701,No,352.08,3.72,3.72,1,505.47,4,lxidpiddsbxsbosboudacockeimpuepw,19.8,Stayed
37,2012791,0,218619,2011-06-22,2016-06-22,2011-06-22,2015-06-23,60,547.35,346,0.0,16.12,0.144902,0.0,44.31137796,No,50.79,21.52,21.52,1,50.38,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,Stayed
38,20429,0,0,2010-03-12,2016-03-12,2010-03-12,2015-03-13,72,869.54,0,0.0,120.45,0.120372,0.103487,40.606701,No,0.0,60.39,60.39,1,111.64,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,26.6,Stayed
39,5957,0,794,2010-06-08,2016-06-08,2010-06-08,2015-06-23,72,510.87,315,0.0,18.47,0.14571099999999998,0.0,44.31137796,No,46.17,24.4,24.4,1,50.71,6,lxidpiddsbxsbosboudacockeimpuepw,15.0,Stayed
40,6047,0,0,2011-11-23,2016-11-23,2011-11-23,2015-11-24,60,913.0,0,0.0,19.54,0.147506,0.0,45.80687796,No,0.0,17.13,17.13,1,86.43,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392000000000001,Stayed
41,1938393,0,312684,2012-09-01,2016-09-01,2012-09-01,2015-09-02,48,3426.48,3537,0.0,51.6,0.14316600000000002,0.0,44.31137796,No,513.03,11.95,11.95,1,279.26,3,lxidpiddsbxsbosboudacockeimpuepw,13.85,Stayed
42,9141,0,1592,2012-03-01,2016-09-20,2015-09-20,2014-03-03,54,419.22,523,0.0,16.32,0.142881,0.0,46.30537836,No,74.39,29.5,29.5,1,30.9,4,lxidpiddsbxsbosboudacockeimpuepw,13.856,Stayed
43,4259,0,0,2012-06-25,2016-07-09,2014-07-09,2015-07-12,49,632.17,0,0.0,16.74,0.144902,0.0,44.31137796,No,0.0,14.64,14.64,1,64.34,4,ldkssxwpmemidmecebumciepifcamkci,10.392000000000001,Stayed
44,12199,0,0,2011-01-10,2016-02-29,2011-01-10,2015-03-09,61,1811.9,0,0.0,21.1,0.145877,0.0,44.31137796,No,0.0,23.4,23.4,1,156.21,5,ldkssxwpmemidmecebumciepifcamkci,10.392000000000001,Stayed
45,13859,0,0,2011-03-15,2016-03-15,2011-03-15,2015-03-16,60,8.83,0,0.0,18.26,0.14669400000000002,0.0,44.31137796,No,0.0,30.22,30.22,1,0.88,5,lxidpiddsbxsbosboudacockeimpuepw,13.2,Stayed
46,110534,0,7546,2012-04-04,2016-04-04,2012-04-04,2015-04-05,48,3485.92,2797,0.0,131.87,0.11690999999999999,0.10057200000000001,40.606701,No,272.68,32.1,32.1,1,416.74,4,lxidpiddsbxsbosboudacockeimpuepw,26.61,Stayed
47,13332,0,0,2008-06-19,2016-04-28,2008-07-10,2015-04-29,94,1258.31,0,0.0,132.68,0.10016699999999999,0.091892,58.99595196,No,0.0,1.3,1.3,2,103.38,8,ldkssxwpmemidmecebumciepifcamkci,25.0,Stayed
48,79090,0,3319,2009-08-01,2016-08-01,2015-07-12,2015-08-02,84,2690.38,2191,0.0,130.47,0.114025,0.097683,40.606701,No,201.4,12.36,12.36,1,311.76,6,ldkssxwpmemidmecebumciepifcamkci,19.8,Stayed
49,5162,0,0,2010-11-18,2016-11-18,2010-11-18,2015-11-21,72,0.0,0,0.0,0.0,0.0006,0.0,0.0,No,0.0,24.33,24.33,1,80.3,5,lxidpiddsbxsbosboudacockeimpuepw,13.86,Stayed
50,88178,0,6094,2010-01-15,2016-02-14,2013-09-14,2015-02-16,73,9070.33,6094,0.0,145.41,0.115744,0.098858,40.606701,No,611.08,32.88,32.88,1,719.37,6,lxidpiddsbxsbosboudacockeimpuepw,33.0,Churned
51,22333,0,2237,2010-11-17,2016-11-17,2015-05-24,2015-11-18,72,2377.86,2237,0.0,143.04,0.11523699999999999,0.100123,40.606701,No,226.86,9.93,9.93,1,234.39,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,52.5,Stayed
52,31653,0,124,2011-03-05,2016-03-05,2011-03-05,2015-03-06,60,82.03,124,0.0,129.6,0.120372,0.103487,40.606701,No,12.19,108.9,108.9,1,10.32,5,lxidpiddsbxsbosboudacockeimpuepw,48.0,Stayed
53,463646,0,40551,2013-06-22,2016-10-09,2013-10-09,2015-10-11,40,2858.82,0,0.0,117.54,0.11523699999999999,0.100123,40.606701,No,0.0,11.04,11.04,1,372.55,3,lxidpiddsbxsbosboudacockeimpuepw,33.0,Stayed
54,10602,0,951,2012-03-13,2016-03-13,2012-03-13,2015-03-16,48,1122.03,951,0.0,129.61,0.120372,0.103487,40.606701,No,98.66,36.22,36.22,1,137.56,4,lxidpiddsbxsbosboudacockeimpuepw,20.0,Stayed
55,21553,0,0,2013-04-09,2016-04-09,2013-04-09,2015-04-12,36,3213.49,0,0.0,16.09,0.144149,0.0,44.31137796,No,0.0,19.28,19.28,1,301.91,3,lxidpiddsbxsbosboudacockeimpuepw,10.392000000000001,Churned
56,348859,0,53135,2010-12-20,2016-12-20,2010-12-20,2015-12-21,72,2767.31,2368,0.0,142.63,0.11650899999999999,0.101397,40.606701,No,218.34,4.46,4.46,1,364.43,5,ldkssxwpmemidmecebumciepifcamkci,100.0,Stayed
57,10019,0,0,2012-11-01,2016-11-01,2012-11-01,2015-11-02,48,775.26,0,0.0,16.34,0.236794,0.0,44.31137796,No,0.0,1.23,1.23,1,335.8,3,ldkssxwpmemidmecebumciepifcamkci,13.2,Stayed
58,7314,0,1542,2012-05-28,2016-05-28,2012-05-28,2015-05-29,48,1094.82,1542,0.0,18.32,0.14571099999999998,0.0,44.31137796,No,226.96,27.69,27.69,1,111.5,4,lxidpiddsbxsbosboudacockeimpuepw,15.0,Stayed
59,1129316,0,79977,2011-12-17,2016-12-17,2011-12-17,2015-12-20,60,1346.17,1174,0.0,129.24,0.11650899999999999,0.101397,40.606701,No,117.71,2.46,2.46,1,172.91,4,lxidpiddsbxsbosboudacockeimpuepw,19.72,Churned
60,11399,0,1105,2011-05-26,2016-04-01,2014-04-01,2015-04-02,59,2158.81,1105,24.0,14.44,0.18618800000000002,0.0,45.80687796,No,206.39,37.56,37.56,1,864.94,5,lxidpiddsbxsbosboudacockeimpuepw,12.5,Stayed
61,162691,0,18860,2011-01-06,2017-01-06,2011-01-06,2016-01-07,72,7603.69,9069,0.0,130.68,0.115744,0.098858,40.606701,No,836.8,16.32,16.32,1,677.58,5,lxidpiddsbxsbosboudacockeimpuepw,16.4,Stayed
62,158223,188601,17754,2010-04-10,2016-04-10,2013-09-16,2015-04-12,72,5658.04,9471,0.0,129.26,0.114481,0.098142,40.606701,Yes,940.24,35.81,35.81,3,580.06,6,lxidpiddsbxsbosboudacockeimpuepw,40.0,Stayed
63,84410,186857,7891,2011-12-02,2016-12-02,2014-11-17,2015-12-03,60,3166.13,3007,0.0,132.13,0.11650899999999999,0.101397,40.606701,Yes,302.49,0.7999999999999989,0.7999999999999989,4,396.63,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,17.25,Stayed
64,2887,0,0,2013-01-08,2017-01-08,2013-01-08,2016-01-10,48,436.45,0,0.0,14.91,0.14669400000000002,0.0,44.31137796,No,0.0,34.68,34.68,1,49.0,3,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856,Stayed
65,8647,0,829,2010-01-28,2016-01-28,2010-01-28,2015-01-30,72,399.54,389,0.0,129.6,0.1169,0.10001499999999999,40.606701,No,37.53,51.96,51.96,1,45.47,6,lxidpiddsbxsbosboudacockeimpuepw,20.785,Stayed
66,10,0,0,2011-06-09,2016-06-09,2011-06-09,2015-06-21,60,1.52,0,0.0,6.67,0.14571099999999998,0.0,44.31137796,No,0.0,21.52,21.52,1,0.16,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,Stayed
67,5682,0,0,2011-03-08,2016-03-08,2011-03-08,2015-03-09,60,853.4,0,0.0,17.35,0.14588399999999999,0.0,44.31137796,No,0.0,23.76,23.76,1,82.52,5,ldkssxwpmemidmecebumciepifcamkci,10.392000000000001,Stayed
68,1017579,187578,120936,2011-06-14,2016-06-14,2011-06-14,2015-06-23,60,100.27,125,0.0,146.81,0.115174,0.098837,40.606701,Yes,11.86,47.0,47.0,2,14.59,5,lxidpiddsbxsbosboudacockeimpuepw,29.7,Stayed
69,16605,227049,2000,2010-01-12,2016-02-09,2010-01-12,2015-02-11,73,1694.72,2000,0.0,132.19,0.1169,0.10001499999999999,40.606701,Yes,200.09,24.72,24.72,2,183.25,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,16.5,Stayed
70,2502,0,0,2012-06-11,2016-06-11,2012-06-11,2015-06-14,48,375.75,0,0.0,19.51,0.14571099999999998,0.0,44.31137796,No,0.0,22.52,22.52,1,35.96,4,ldkssxwpmemidmecebumciepifcamkci,13.856,Stayed
71,179907,124659,30003,2004-06-03,2016-06-03,2004-06-03,2015-06-23,144,17385.87,30003,0.0,133.4,0.11008299999999999,0.09374600000000001,40.606701,Yes,2903.59,3.16,3.16,4,1166.47,12,ldkssxwpmemidmecebumciepifcamkci,37.29,Stayed
72,92718,0,7895,2009-09-09,2016-09-09,2009-09-09,2015-09-10,84,8796.43,7895,0.0,145.77,0.11332300000000001,0.096984,40.606701,Yes,735.06,14.94,14.94,2,848.79,6,lxidpiddsbxsbosboudacockeimpuepw,55.0,Stayed
73,597,0,0,2009-12-01,2016-12-01,2015-11-01,2015-12-02,84,74.51,0,0.0,13.64,0.16304000000000002,0.084395,46.30537836,No,0.0,20.54,20.54,1,20.73,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392000000000001,Stayed
74,64516,21201,3764,2013-03-22,2016-03-22,2014-06-25,2015-03-23,36,4766.96,3764,0.0,145.03,0.11863599999999999,0.10175,40.606701,Yes,376.57,22.44,22.44,2,530.16,3,ldkssxwpmemidmecebumciepifcamkci,15.001,Churned
75,67923,14693,4898,2012-09-14,2016-02-04,2014-02-04,2015-02-05,41,6714.09,4898,0.0,147.79,0.112852,0.095965,40.606701,Yes,469.1,19.92,19.92,2,571.66,3,lxidpiddsbxsbosboudacockeimpuepw,20.0,Stayed
76,6383,0,1116,2010-01-21,2017-01-21,2015-11-16,2016-01-22,84,958.79,1116,0.0,16.26,0.145541,0.0,44.31137796,No,163.87,34.68,34.68,1,101.81,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856,Stayed
77,7042,0,0,2011-11-23,2016-11-23,2011-11-23,2015-11-24,60,1058.3,0,0.0,19.49,0.147506,0.0,45.80687796,No,0.0,22.89,22.89,1,102.08,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856,Stayed
78,19704,45795,1466,2010-12-08,2016-12-08,2014-11-17,2015-12-09,72,1991.63,1466,0.0,128.19,0.11650899999999999,0.101397,40.606701,Yes,147.9,60.84,60.84,3,66.87,5,lxidpiddsbxsbosboudacockeimpuepw,25.0,Stayed
79,15803,0,0,2010-01-01,2017-01-01,2010-01-01,2016-01-02,84,461.63,0,0.0,16.48,0.14588399999999999,0.0,44.31137796,No,0.0,37.56,37.56,1,45.07,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,15.0,Stayed
80,362296,0,0,2011-07-31,2016-04-16,2011-07-31,2014-12-18,57,32775.41,0,0.0,328.74,0.108925,0.092586,40.606701,No,0.0,0.24,0.24,1,2213.86,5,lxidpiddsbxsbosboudacockeimpuepw,100.0,Churned
81,10930,0,3227,2009-07-14,2016-07-14,2009-07-14,2015-07-15,84,777.96,1578,0.0,16.68,0.165793,0.08853899999999999,44.31137796,No,217.04,14.57,14.57,1,59.82,7,ldkssxwpmemidmecebumciepifcamkci,10.35,Stayed
82,15150,0,4700,2013-03-16,2016-03-16,2013-03-16,2015-03-17,36,1637.98,4700,0.0,10.37,0.16405799999999998,0.086163,44.31137796,No,494.42,29.76,29.76,1,134.5,3,lxidpiddsbxsbosboudacockeimpuepw,14.49,Stayed
83,3251,0,0,2010-09-15,2016-09-15,2010-09-15,2015-09-16,72,487.33,0,0.0,16.44,0.14571099999999998,0.0,44.31137796,No,0.0,10.08,10.08,1,47.33,5,ldkssxwpmemidmecebumciepifcamkci,10.392000000000001,Stayed
84,4077,0,668,2010-07-09,2016-07-09,2015-05-23,2015-07-10,72,601.62,668,0.0,16.89,0.142822,0.0,44.31137796,No,96.52,15.5,15.5,1,59.37,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,11.0,Stayed
85,16163,0,1474,2009-08-01,2016-08-01,2009-08-01,2015-08-02,84,1739.46,1474,0.0,0.0,0.115174,0.098837,40.606701,No,155.19,12.9,12.9,1,181.75,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,20.7,Stayed
86,51558,0,0,2012-10-24,2016-11-18,2015-11-18,2015-10-25,49,3469.21,0,0.0,17.27,0.159815,0.081173,44.31137796,No,0.0,4.83,4.83,2,122.17,3,ldkssxwpmemidmecebumciepifcamkci,10.35,Churned
87,1750,0,64,2012-03-13,2016-03-13,2012-03-13,2015-03-16,48,176.01,64,0.0,127.81,0.120372,0.103487,40.606701,No,6.08,37.39,37.39,1,21.87,4,lxidpiddsbxsbosboudacockeimpuepw,16.5,Stayed
88,51774,0,4095,2012-03-10,2016-03-10,2012-03-10,2015-03-11,48,5282.47,4095,0.0,130.67,0.11863599999999999,0.10175,40.606701,No,406.53,23.66,23.66,1,544.49,4,lxidpiddsbxsbosboudacockeimpuepw,26.4,Stayed
89,38268,0,3598,2010-09-04,2016-09-04,2015-08-27,2015-09-05,72,2318.35,2495,0.0,167.76,0.114025,0.097683,40.606701,No,234.18,23.99,23.99,1,295.02,5,lxidpiddsbxsbosboudacockeimpuepw,50.0,Stayed
90,84527,0,5925,2012-04-04,2016-04-04,2015-04-15,2015-04-05,48,3787.85,3230,0.0,129.61,0.11576099999999999,0.09941900000000001,40.606701,No,325.09,25.44,25.44,1,428.99,4,lxidpiddsbxsbosboudacockeimpuepw,21.04,Churned
91,8345,0,0,2010-06-30,2016-06-10,2014-06-10,2015-06-23,72,1210.54,0,0.0,16.55,0.142065,0.0,44.31137796,No,0.0,27.52,27.52,1,112.04,6,lxidpiddsbxsbosboudacockeimpuepw,13.3,Stayed
92,45039,0,4209,2009-03-11,2016-03-10,2009-03-11,2015-03-11,84,4078.7,4209,0.0,350.36,0.1017,0.092659,58.99595196,No,369.83,4.5,4.5,1,469.43,7,lxidpiddsbxsbosboudacockeimpuepw,187.0,Stayed
93,1540,43,21,2010-04-27,2016-04-27,2010-04-27,2015-04-28,72,19.59,19,0.0,132.11,0.11690999999999999,0.10057200000000001,40.606701,Yes,1.83,42.48,42.48,2,2.43,6,ldkssxwpmemidmecebumciepifcamkci,17.0,Churned
94,1644,0,0,2012-02-03,2016-02-27,2015-12-17,2015-03-09,48,312.66,0,28.0,13.8,0.182936,0.0,47.80087836,No,0.0,48.6,48.6,1,27.83,4,lxidpiddsbxsbosboudacockeimpuepw,13.856,Stayed
95,4527,0,0,2012-04-12,2016-04-12,2015-03-09,2015-04-13,48,676.72,0,0.0,16.16,0.14531,0.0,44.31137796,No,0.0,21.48,21.48,1,63.75,4,ldkssxwpmemidmecebumciepifcamkci,10.392000000000001,Stayed
96,3875,0,0,2010-07-21,2016-07-21,2010-07-21,2015-07-22,72,577.24,0,0.0,18.47,0.144902,0.0,44.31137796,No,0.0,17.62,17.62,1,53.89,6,lxidpiddsbxsbosboudacockeimpuepw,12.5,Stayed
97,8011,0,911,2010-01-11,2016-03-09,2010-01-11,2015-03-10,74,800.29,911,0.0,132.53,0.1169,0.10001499999999999,40.606701,No,89.44,37.39,37.39,1,87.02,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,16.5,Stayed
98,6569,0,1114,2012-01-24,2017-01-24,2015-11-17,2016-01-25,60,983.37,1114,0.0,16.78,0.14531,0.0,44.31137796,No,163.2,26.04,26.04,1,94.42,4,ldkssxwpmemidmecebumciepifcamkci,10.392000000000001,Stayed
99,1175,0,177,2010-02-17,2016-02-17,2010-02-17,2015-02-18,72,177.21,177,0.0,19.34,0.14669400000000002,0.0,44.31137796,No,26.26,26.04,26.04,1,16.97,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392000000000001,Stayed
100,8369,0,936,2011-01-01,2017-01-01,2015-11-18,2016-01-02,72,1251.18,936,0.0,15.16,0.144152,0.0,44.31137796,No,136.14,34.68,34.68,1,121.33,5,lxidpiddsbxsbosboudacockeimpuepw,13.84,Stayed
101,15295,0,1807,2012-03-03,2016-03-03,2012-03-03,2015-03-06,48,1313.84,1381,0.0,130.31,0.120372,0.103487,40.606701,No,140.32,31.32,31.32,1,156.02,4,lxidpiddsbxsbosboudacockeimpuepw,17.320999999999998,Stayed
102,18262,0,1513,2012-04-18,2016-04-18,2013-09-16,2015-04-21,48,1310.31,1078,0.0,129.59,0.118646,0.10230800000000001,40.606701,No,110.9,32.48,32.48,1,159.02,4,lxidpiddsbxsbosboudacockeimpuepw,20.0,Stayed
103,7921,0,2037,2009-07-02,2016-07-02,2009-07-02,2015-07-04,84,1179.04,2037,0.0,0.0,0.144902,0.0,44.31137796,No,298.7,18.62,18.62,1,108.67,7,ldkssxwpmemidmecebumciepifcamkci,13.2,Stayed
104,4249,0,468,2008-07-30,2016-05-22,2008-07-30,2015-06-01,94,371.55,468,0.0,132.52,0.10016699999999999,0.091892,58.99595196,No,40.11,0.27,0.27,1,53.42,8,ldkssxwpmemidmecebumciepifcamkci,3.45,Stayed
105,52988,24114,9573,2011-09-30,2016-09-30,2011-09-30,2015-10-01,60,4608.72,5512,0.0,18.37,0.14316600000000002,0.0,44.31137796,Yes,797.2,10.84,10.84,2,362.56,4,lxidpiddsbxsbosboudacockeimpuepw,12.5,Stayed
